Jean 1,LEGS,Celeste,algodon,INFORMAL,MEDIUM,Pantalon para cualquier ocasion,32x34,panatalon3.png,Levis
Pantalon Largo ,LEGS,Violeta,algodon,FORMAL,HUMIDWINTER,Pantalon para cualquier ocasion,32x34,panatalon4.png,GAP
Pantalon Largo ,LEGS,Verde,algodon,INFORMAL,MEDIUM,Pantalon para cualquier ocasion,32x34,panatalon5.png,GAP
Pantalon Largo ,LEGS,Negro,algodon,INFORMAL,HUMIDWINTER,Pantalon para cualquier ocasion,32x34,panatalon6.png,Levis
Pantalon Largo ,LEGS,Azul,algodon,INFORMAL,HUMIDWINTER,Pantalon para cualquier ocasion,32x34,panatalon7.png,GAP
Pantalon Largo ,LEGS,Marron,algodon,INFORMAL,MEDIUM,Pantalon para cualquier ocasion,32x34,panatalon8.png,GAP
Pantalon Verde Lacoste,LEGS,Verde ,algodon,FORMAL,MEDIUM,Pantalon para cualquier ocasion,32x34,panatalon9.png,Lacoste
Pantalon Traje Negro,LEGS,Negro,algodon,VERYFORMAL,MEDIUM,Pantalon de traje,32x34,pantalonTraje.png,GAP
Remera 1,CHEST,Fucsia,algodon,INFORMAL,SUMMERNIGHT,Remera para todo momento,M,remera1.png,T-shirt
Remera 2,CHEST,Negro,algodon,SEMIFORMAL,SUMMERNIGHT,Chomba,M,remera2.png,Gap
Remera 3,CHEST,Rojo,algodon,SEMIFORMAL,SUMMERNIGHT,Chomba,M,remera3.png,Lacoste
Remera 4,CHEST,Amarillo,algodon,SEMIFORMAL,SUMMERNIGHT,Chomba,M,remera4.png,T-shirt
Remera 5,CHEST,Gris,algodon,INFORMAL,SUMMERNIGHT,Remera para todo momento,M,remera5.png,Polo
Remera 6,CHEST,Gris,algodon,INFORMAL,SUMMERNIGHT,Remera para todo momento,M,remera6.png,Efecto Uno
Remera 7,CHEST,Gris,algodon,SEMIFORMAL,SUMMERNIGHT,Chomba,M,remera7.png,Lacoste
Remera Australia,CHEST,Azul,algodon,INFORMAL,SUMMERNIGHT,Remera para todo momento,M,remera8.png,Austaralia
Remera 9,CHEST,Verde,algodon,INFORMAL,SUMMERNIGHT,Remera para todo momento,M,remera9.png,Dockers
Remera 10,CHEST,Rojo,algodon,SEMIFORMAL,SUMMERNIGHT,Remera para todo momento,M,remera10.png,Polo
Remera 11,CHEST,Azul,algodon,SEMIFORMAL,SUMMERNIGHT,Chomba,M,remera11.png,Gap
Remera 12,CHEST,Blanca,algodon,INFORMAL,SUMMERNIGHT,Camiseta Blanca todo momento,M,remera12.png,Dockers
Remera 13,CHEST,Rosa,algodon,INFORMAL,SUMMERNIGHT,Remera para todo momento,M,remera13.png,Polo
Remera Sydney,CHEST,Oliva,algodon,INFORMAL,SUMMERNIGHT,,M,remera14.png,Sydney
Remera 15,CHEST,Gris,algodon,INFORMAL,SUMMERNIGHT,,M,remera15.png,Gap
Remera 16,CHEST,Gris-Blanca,algodon,INFORMAL,SUMMERNIGHT,,M,remera16.png,Gap
Remera 17,CHEST,Blanco,algodon,SPORTS,HOTSUMMER,,M,remera17.png,Adidas
Remera 18,CHEST,Celeste,algodon,SPORTS,HOTSUMMER,,M,remera18.png,Gap
Remera 19,CHEST,Naranja,algodon,SPORTS,HOTSUMMER,,M,remera19.png,Reebok
Remera Abrigo ,CHEST,Negro,algodon,INFORMAL,FREEZING,Remera de abrigo manga larga,M,remera20.png,Dockers
Camiseta de River,CHEST,Rojo-Blanco,algodon,SPORTS,SUMMERNIGHT,Remera de futbol,M,remera21.png,Adidas
Camiseta de Alemania,CHEST,Blanco,algodon,SPORTS,SUMMERNIGHT,Remera de Futbol,M,remera22.png,Adidas
Remera 23,CHEST,,algodon,SPORTS,SUMMERNIGHT,Remera para hacer deporte,M,remera23.png,Olivos
Remera con flores,CHEST,Negro-Turquesa,algodon,INFORMAL,SUMMERNIGHT,Remera con flores divertida,M,remera24.png,SouthCoast
Saco,CHEST2,Negro,algodon,SPORTS,NEWWINTER,Saco de traje,M,saco1.png,Polo
Saco Corderoy,CHEST2,Negro,algodon,INFORMAL,NEWWINTER,Sago de traje,M,saco2.png,Polo
Short con anclas,LEGS,Negro,algodon,INFORMAL,WINDYSUNNY,Short de verano,M,short1.png,Dockers
Short cuadriculado,LEGS,Blanco,algodon,INFORMAL,WINDYSUNNY,Short de verano,M,short2.png,Gap
Short liso,LEGS,Rosa,algodon,INFORMAL,WINDYSUNNY,Short de verano,M,short3.png,Aeropostale
Short liso,LEGS,Azul,algodon,INFORMAL,WINDYSUNNY,Short de verano,M,short4.png,Aeropostale
Short liso,LEGS,Marron,algodon,INFORMAL,WINDYSUNNY,Short de verano,M,short5.png,Aeropostale
Short Nike deportivo,LEGS,Negro,algodon,SPORTS,WINDYSUNNY,Short de deporte,M,short6.png,Nike
Sueter Gap fino,CHEST2,Gris,algodon,SEMIFORMAL,COLDSUMMER,Sueter para todo momento,M,sueter1.png,Gap
Sueter pinchudo,CHEST2,Azul,Lana,SEMIFORMAL,COLDSUMMER,Sueter mas para trabajr,M,sueter2.png,Wrangler
Botitas Timberland,FEETS,Mostaza,Gamuza,FORMAL,HUMIDWINTER,Botitas para salir,43,zapatilla1.png,Timberland
Zapatillas Vans clasicas,FEETS,Negro,Tela,INFORMAL,MEDIUM,Zapatillas para todo momento,43,zapatilla2.png,Vans
Zapatillas ,FEETS,Azul,Tela,FORMAL,MEDIUM,Zapatillas para todo momento,43,zapatilla3.png,Oggy
Zapatillas Vans clasicas,FEETS,Rojo,Tela,INFORMAL,MEDIUM,Zapatillas para todo momento,43,zapatilla4.png,Vans
Zapatillas Polo,FEETS,Beige,Tela,SEMIFORMAL,MEDIUM,Zapatillas para todo momento,43,zapatilla5.png,Polo
Zapatillas Vans clasicas,FEETS,Gris,Tela,INFORMAL,MEDIUM,Zapatillas para todo momento,43,zapatilla6.png,Vans
Zapatillas Nike deportiva,FEETS,Negro,Tela,SPORTS,HOTSUMMER,Zapatillas running,43,zapatilla7.png,Nike
Zapatillas Nike Running,FEETS,Negro,Tela,SPORTS,HOTSUMMER,Zapatillas running,43,zapatilla8.png,Nike
Zapatos formales,FEETS,Verde,Cuero,VERYFORMAL,MEDIUM,Zapatos para evento formal,43,zapato1.png,Puppies
Zapatos traje,FEETS,Negro,Cuero,VERYFORMAL,MEDIUM,Zapatos para evento formal,43,zapato2.png,Puppies
